,0
0,cubemap_0deec78e66a7fce81be8da73219b8a7b_negz.png
1,cubemap_0deec78e66a7fce81be8da73219b8a7b_negx.png
2,cubemap_0deec78e66a7fce81be8da73219b8a7b_posy.png
3,cubemap_0deec78e66a7fce81be8da73219b8a7b_posz.png
4,cubemap_0deec78e66a7fce81be8da73219b8a7b_posx.png
5,cubemap_0deec78e66a7fce81be8da73219b8a7b_negy.png
6,cubemap_0e0afcaa2435224aa8504011bb5c00c6_negx.png
7,cubemap_0e0afcaa2435224aa8504011bb5c00c6_negy.png
8,cubemap_0e0afcaa2435224aa8504011bb5c00c6_posx.png
9,cubemap_0e0afcaa2435224aa8504011bb5c00c6_posz.png
10,cubemap_0e0afcaa2435224aa8504011bb5c00c6_negz.png
11,cubemap_0e0afcaa2435224aa8504011bb5c00c6_posy.png
12,cubemap_0dfa02538db1c8ccda6fa095f0a08096_posx.png
13,cubemap_0dfa02538db1c8ccda6fa095f0a08096_negy.png
14,cubemap_0dfa02538db1c8ccda6fa095f0a08096_posy.png
15,cubemap_0dfa02538db1c8ccda6fa095f0a08096_posz.png
16,cubemap_0dfa02538db1c8ccda6fa095f0a08096_negz.png
17,cubemap_0dfa02538db1c8ccda6fa095f0a08096_negx.png
